Book,Blurb,Author
The Kill List,"ඇමෙරිකා රජයේ ඉහළ මට්ටමේ අති රහස්‍ය ලෙස පවත්වාගෙන යනු ලබන, ලෝකයේ ආරක්‍ෂාවට තර්ජනයක් වන ගැහැනු, පිරිමි අයගේ නාම ලේඛනය 'ඝාතන ලේඛනය'ලෙස හැඳින්වේ.  මෙම ලේඛනයේ මුලටම පැමිණ සිටියේ අනන්‍යතාවය සොයාගත නොහැකිවන ලෙස කරන තම දේශන මගින් බටහිර ඉහළ පෙළේ පුද්ගලයන්, දෙවියන්ගේ නාමයෙන් ඝාතනය කිරීමට අණ කරන අන්තවාදී ආගමික දේශකයෙකි. මෙසේ ආගමේ නාමයෙන් කරනු ලබන ඝාතන ඇමෙරිකාවේ, බ්‍රිතාන්‍යයේ හා යුරෝපයේ වැඩිවනවිට මෙම පණිවුඩය නිකුත් කෙරිණ. ""මොහු හඳුනාගෙන, සිටින තැන සොයාගෙන, වහාම ඉවත්කර දමන්න. "" මෙම කළ නොහැකි සේ පෙනුණු කාර්යය භාර වූයේ  ""හඹායන්නා"" ලෙසින් පමණක් හැඳින් වූ හිටපු නාවික හමුදා නිලධාරියකුට ය. සැඟවී අන්තර්ජාලය හරහා දේශන කරන ඝාතකයා සොයාගැනීමට ""හඹායන්නා"" නූතන තොරතුරු තාක්‍ෂණ විශේෂඥයකු වූ ලාබාල තරුණයකු ගේ උදව් ලබා ගනී. දේශකයාට උදව් කළ පරිගණක විශේෂඥයාද පරදවමින් ඔහු තම දැනුම මෙහෙයවා කළ දස්කම් නිසා ""දේශකයා"" ගැන තොරතුරු සොයා ගැනීමට හැකි වෙයි. ඉන්පසු ""හඹායන්නා"" ට මෙම ඝාතකයා දඩයම්කර ගැනීමට හැකිවේද?",Frederick Forsyth
Elephant Adventure,"වර්තමානයේ මිහිමත වෙසෙන දැවැන්තයා අලියා අප අතර කුතුහලය වඩවන අපූරු සත්වයෙකි. ඔටුවා ගේ මෙන්ම අලියා ගේ ශරීර අභ්‍යන්තරයේ ද ජලය ගබඩා කර තබා ගන්නා කුසක් වෙනම ම පිහිටා තිබෙන බව ඔබ දැන සිටියේ ද? අප්‍රිකාවේ වෙසෙන ලොව මිටි ම මිනිසුන්, පිග්මි ගෝත්‍රිකයන් අලින් දඩයම සඳහා භාවිතා කරන අපූරු උපක්‍රම ගැන ඔබ දැන සිටියේ ද? ලොව ඉතා දුර්ලභ හා ඉතා වටිනා සුදු අලින් ගැන ඔබ දැන සිටියේ ද? අලියකුගේ සම සුදු පැහැවන්නේ කෙසේද? එය විකෘතියක් ද? මේ සියලු ගැටළු වලට පිළිතුරු මෙම යොවුන් නවකතාව කියැවීමේ දී ඔබට ලැබෙනු ඇත.",Willard Price
Forbidden Lessons in a Kabul Guesthouse,"දේශපාලන රැකවරණ ලබා අමෙරිකාවේ වාසය කරන ඇෆ්ගන් කාන්තාවක වන සුරයා සාදීඩ්, විදෙස් ආක්‍රමණ, සිවිල් යුද්ධ, ස්වාභාවික විපත් හේතුවෙන් අසරණ ව, තලේබාන් පාලනයෙන් පරපීඩිතව වෙසෙන සහෝදර ඇෆ්ගන් ජනතාව වෙනුවෙන් යුතුකම් ඉටුකරන්නට දිවි නොතකා කරන අරගලයේ කතාව.","Damien Lewis and Suraya Sadeed
"
Chapters of Life,"ද තර්ඩ් අයි' ලියමින් ලොව පුරා මහත් ආන්දෝලනයක් ඇති කළ ටී.ලොබ්සාන් රම්පා පැවසුවේ ටිබෙටයේ ලාමාවරයකු වූ තමා බ්‍රිතාන්‍ය ජාතික සිරිල් හෙන්රි හොස්කින් ගේ ශරීරය ඇතුළත ජීවත්වනවා කියාය. සෑම වසර දෙදහසකට වරක් මිනිසාට නිවැරදි මඟ පෙන්වන්නකු පෘථිවිය මත බිහිවන බව පවසන රම්පා මෙම කෘතියෙන් භාවනාව, මනෝකායෙන් ගමන් කිරීම, අධ්‍යාත්මික ලෝකයේ ඉහළටම ගමන් කළ යුතු ආකාරය, පද්‍යයන්හි සැඟවුණු මානවයාගේ හා විශ්වයේ රහස් ආදි බොහෝ කාරණා පිළිබඳ සාකච්ඡා කරයි. රම්පා මෙම කෘතියෙන් තව දුරටත් පවසන්නේ මරණයෙන් පසු අප යා යුතු ලෝකය අප සිතා සිටින ආකාරයේ තැනක් නොව සාමාන්‍ය මිනිසෙකුට සිතන්නට පවා අසීරු ඉහළ මට්ටමක් කියාය.",Lobsang Rampa
Princess: A True Story of Life Behind the Veil in Saudi Arabia,1988 දී සුල්තානා මගේ මිතුරියක වශයෙන් ඇයගේ ජීවිත කතාව ලියන්නැයි මට ආරාධනා කළා ය. ඇය ගේ තරුණ ජීවිත කාලයේ දී ඇයට අත් විඳින්නට සිදු වූ දුක් කම්කටොලු මෙන් ම සවුදි කාන්තාවන් ගේ දුක්බර ජීවිත පිළිබඳ හෙළි කරන්නට ඇයට අවශ්‍ය විය. මේ කතාව ලියා පළ කිරීමෙන් ඇය ගේ ජීවිතයට යම් කිසි අන්තරාවක් සිදු වේ යැයි මට හැඟිණි. ඒ කෙසේ වෙතත් මේ පිළිබඳ ව මගේ පුද්ගලික කැමැත්ත ද නොතිබුණා නොවේ. මම මැද පෙරදිගට කැමැත්තෙමි. මේ ප්‍රදේශයේ මගේ ආදරණීය මිතුරියෝ කිහිප දෙනෙක්ම  ජීවත් වෙති. ඒ අතර සතුටින් සිටින සවුදි කාන්තාවන් කිහිප දෙනකු සිටින බව මම දනිමි. මගේ මිතුරිය සුල්තානා නිරුවත් සත්‍යය පෙන්වන්නයට මගේ දෑස්වලට බල කළා ය. කාන්තාවනට බිසක් නැතිව ජීවත් වන්නට ලැබෙන තුරු සවුදියේ සැමරුමක් සිදු නොවනු ඇත. සුල්තානා මට මෙහි ඇති විශේෂත්වය පැහැදිලි කළා ය. ඇය ජීවිතයේ සියලු බාධක බිඳ දැමුවා ය. මගේ විරෝධතා ද ඇය ජය ගත්තා ය. ඇගේ ජීවිත කතාව ලිවීමේ දුෂ්කර කර්තව්‍යයට මම අත ගැසුවෙමි. බටහිර ක්‍රිස්තියානි සහ නැගෙනහිර ඉස්ලාම් ධර්මය එක්තරා බන්ධනයක් ඇති කරන්නට ගෙතුමක් ගොතා ඇත. මෙහි සංකල්පය ඒ සඳහා මට ඇති වූ බිය යි.,Jean Sasson
The Swan Thieves,"වොෂින්ටන් නුවර ජාතික කලාගාරයේ දී 19 වැනි සියවසට අයත් චිත්‍රයක් පිහියකින් ඉරා දැමීමට උත්සාහ කළ රොබර්ට් ඔලිවර් නමැති චිත්‍ර ශිල්පියා පොලිස් අත්අඩංගුවට පත්වීමෙන් පසුව යොමු කෙරෙන්නේ ගෝල්ඩන්ග්‍රෝව්  හී මනෝචිකිත්සක ඒකකය වෙතය. එහි ප්‍රධානී ඇන්ඩෲ මාර්ලෝ ද චිත්‍ර ශිල්පය විනෝදාංශය කරගත් කෘතහස්ත මනෝවෛද්‍යවරයෙකි. කිසිවකුට අත තැබීමට ඉඩ නොදෙන පැරණි ලිපි මිටියක් තුරුළු කරගනිමින් පුරා මාස දොළහක් නිහඬතාව රකිමින් සිටින රොබර්ට් ඔලිවර් සුවපත් කිරීමට වෛද්‍යමාර්ලෝට සිය රෝගියාගේ අතීතයට යාමට සිදුවෙයි. මේ අතර රොබර්ට් ඔලිවර් පහරදුන් චිත්‍රය ග්‍රීක පුරාවෘත්තයක් වන ලේඩා නමැති නිරුවත් කාන්තාවගේ චිත්‍රය බව වෛද්‍ය මාර්ලෝ සොයා ගනී. ඒ අතරතුර යම්කිසි හෝඩුවාවක් දැනගැනීමේ අටියෙන් වෛද්‍ය මාර්ලෝ විසින් ඔලිවර් රොබර්ට්ගේ කුටියේ සිතියම් මැස්සක්, වර්ණ ඵලකයක්, තීන්ත, බුරුසු සහ කැන්වස් රෙදි පුරවාලමින් ඔහු චිත්‍ර ඇඳීමට පොළඹවාගනු ලබයි. රොබර්ට් ඔලිවර් විසින් දිනෙන් දින අඳිනු ලබන චිත්‍ර නිරීක්ෂණය කිරීමේදී වෛද්‍ය මාර්ලෝට දැකගත හැකිවන්නේ මේ ගුප්ත මිනිසාගේ සෑම චිත්‍රයකටම පාදක වී ඇත්තේ කළු පැහැති දෑස් ඇති, රැළි ගැසුණු හිසකේ සහිත දුටු විගස සිත සසළ කරවන ආකාරයේ සුරූපි කාන්තා මුහුණක් පමණක් බවය. ඇය කවුරුන්ද?","Elizabeth Kostova
"
Red April,"දේශපාලනය, භීෂණය හා මානවයාගේ බෙලහීනත්වය තේමා කරගනිමින් සුවිශිෂ්ට ලෙස රචනා කර ඇති මේ නවකතාව හරහා පේරු රාජ්‍යයේ එක් තීරණාත්මක සමයක හෘද සාක්ෂිය ප්‍රශ්න කෙරෙයි. පාඨකයාට එය අන්‍ය දේශයකසිදුවීම් සේ බැහැර කළ නොහැකි ය. ",Santiago Roncagliolo
Life on the Western Front,"""මෙම කෘතිය පාපෝච්චාරණයක් හෝ චෝදනාවක්  හෝ නොවන අතර කිසි සේත්ම වික්‍රමයක් නොවේ. මක්නිසාද, ඒ සමග මුහුණට මුහුණ ලා සිටින්නවුන් හට මරණය වික්‍රමයක් නොවේ. ෂෙල් වෙඩි වලින් බේරීගත් නමුත් යුද්ධය විසින් විනාශ කරන ලද මිනිසුන්ප රම්පරාවක් ගැන කීමට මෙම කෘතිය හුදෙක් උත්සාහ කරනු ඇතැ "" යි ප්‍රකාශ කරන රිමාකේ නිරූපනය කරන්නේ ජර්මන් සෙබලකු වශයෙන් ඔහු පළමුවන ලෝක සංග්‍රාමයෙහි දී අත් දුටු සංත්‍රාසය හා කෲරකම්, කැළි කසළ හා තුච්ඡකම, ම්ලේච්ඡ බව හා මුදු මොළොක්බ ව, බියගුලුකම නිර්භීතකමෙහි මහිමය, මිත්‍රත්වය අන්‍යොන්‍ය ආදරය, ශාරීරික විනාශය අධ්‍යාත්මික පරිහානිය ආදී වශයෙන් වූ යුද්ධයේ විහිළුව, උත්ප්‍රාසය හා ශාපය වැනි විවිධ, විශද, විස්මිත පැතිකඩ වේ. අතීතය පුදුමාකාර ලෙස වර්තමානය කරා ගෙන එමින් පාඨකයා අව්‍යවහිත අනුභූතිය කරා පහසුවෙන් ගෙන යන කතුවරයා යුද්ධයෙහි ඝෝර බව පමණක් නොව ජීවිතයෙහි මිහිර, සුන්දරත්වය හා ශෝචනීය බව මෙන්ම එහි ශෝකාන්තය ද මැනවින් මවා දක්වයි. ","Nick Hunter
"
Joana,"පිපිරීමකින් තොර ව බිමට වැටුණු එම උණ්ඩවලින් සුදු පැහැ දුම් වළාවන් පිටවූයේ ය. ඊ ළඟට සිදු වූයේ තවත් අමුතු දෙයකි. කුරුල්ලන් අහසෙන් බිමට ඇද වැටෙන්නට පටන් ගත්තේ ය. අලුත විවාපත් මනාලියක වූ ජෝආනා විමතියට පත්වූවා ය. කෲර ආඥාදායක සදාම් හුසේන් කුර්දිස්තානයේ වෙසෙන සෑම කුර්ද ජාතිකයකු ම අවසන් ගමන් යවන අපේක්ෂාවෙන් රසායන අවි ප්‍රහාර එල්ල කරන බව ජොආනා වටහා ගත්තා ය. ඇගේ උගුර රිදුම් දෙන්නට වූ අතර, දැස් දැවිල්ල ගත්තේ ය. ඇය බිම වැතිර ගතිතා ය. අප්‍රසන්න ගන්ධයකින් යුත් විෂ වායුව ඇගේ කල්පනා ශක්තිය මෙන්ම සංවේදීතාවන් ද අඩු කර දැමුවේ ය. ""මේ මරණය යි"" ජෝආනා සිතූවා ය. බිඳී ගිය ඉරාකයේ කුර්දි ජාතික පෙම්වතිය ජෝආනාගේ ඉරණම කුමක් වන්නට ඇත් ද?",Jean P Sasson
Traitor's Daughter,"එක් පුද්ගලයකුගේ ජීවිතය තුළ දී අත්විඳිය හැකිදැයි ඇදහිය නොහැකි තරමේ දැවැන්ත අත්දැකීම් සමුදායක් කැටි කරගත් මෙම කතාන්දරය, මායාවී සිදු වීම්, උද්වේගකර අවස්ථා, විචිත්‍ර චරිත, රමණීය වර්ණනා ආදි ප්‍රබන්ධ කෘතියක ගැබ් වන සියලු ගති ලක්ෂණ වලින් පෝෂිත වුවද ප්‍රබන්ධයක් නොව සැබෑ ජීවිතයක් හා බැඳුණකි. පශ්චාත් විප්ලවීය සෝවියට් දේශයේ' පළමු දශකයෙහි ඉපිද, එය යළි 'රුසියාව ' ලෙස නාමකරණය වන තුරුම එහි විවිධ චලනයන් අත් විඳිමින්, දශක අටකට වැඩි කලක් දිවි ගෙවූ ඊන්නා අලෙක්අ ලෙක්සන්ද්‍රව්නා ප්‍රෝහරවා නම් විද්‍යාඥවරියගේ වෘත්තීය සහ ජීවන අත්දැකීම් මත පදනම් වන එය, ඇගේ පිය මුතු පරපුරේ අත්දැකීම් ඔස්සේ පූර්ව විප්ලවීය රුසියානු සමාජය දෙසටද අතු ඉති විහිදුවයි. ස්ටාලින්ගේ ආඥාදායක පාලනය විසින් ද්‍රෝහී හංවඩුව මත කුරිරු ඉරණමකට ගොදුරු කළ පියකුගේ දියණියක ලෙස ඇය අත්විඳි කටුක යථාර්ථයද, එබඳු කෲරත්වයකට නතු වූ ජන සමාජයක අභ්‍යන්තර ගති සොබාවද මෙහි කදිමට නිරූපිතය. එහෙත් එය හුදෙක් දේශපාලනය පිළිබඳ කතාන්දරයක් නොවේ. ස්වකීය ඉරණමට එරෙහිව නැගී සිටින ගැහැනියකගේ අප්‍රතිහත අරගලයද, ප්‍රේමය, විරහව, ඊර්ෂ්‍යාව, වෛරය, පශ්චාත්තාපය ආදි මිනිස්වගට පොදු වූ සංවේදනාවන්ද, කැපවීම, පාවාදීම, ද්‍රෝහිවීම, උන්නතිකාමය යනාදී පොදු මිනිස් ගති සොබාවන් ද හෙළි කරන, මනුෂ්‍යත්වය පිළිබඳ විවරණයකි.",Inna aleksandrovna Prohorova
"
Fury","මලික් සොලන්කා නම් මහාචාර්යවරයාගේ උන්මාදනීය ආදරය වටා ගෙතුණු කතාවකි. මහාචාර්යවරයා ගැහැණු සොඬෙකි. තරහ, ආවේගය නිසා පිස්සු වැටුණු පුද්ගලයෙකි. ඔහුගේ ජීවිතය ඛේදවාචකයක් බවට පත්වන්නේ, මේ උන්මාදය නිසාය. එහෙත් ඔහු අපයෝජනය ට ලක් වූ දරුවෙකු බව අප හඳුනා ගන්නේ කතාව අවසානයේදීය. ආර්ථික මුලාව මගින් බිලිගත් නිව්යෝර්ක් නගරය රශ්ඩි දකින්නේ මලික් සොලන්කා නම් මහාචාර්යවරයාගේ චරිතය තුළිනි. මහාචාර්ය පදවියෙන් ඉවත්වන ඔහු රූකඩ බෝනික්කන් සාදයි. තම බිරිඳ හැරුණු විට ඔහු තවත් ගැහැණු ඇසුරු කරයි. රශ්ඩි දකින විදියට ඒ කුඩා අවධියේ අපයෝජනයට ලක්වීමේ ප්‍රතිඵලයකි.",Salman Rushdie
Living With The Lama,1964 වසරේදී ප්‍රකාශයට පත් වූ මෙම කෘතිය ටෙලිපති ක්‍රමයට කියවූයේ රම්පාගේ බොහෝ බළලුන් අතරින් එකකු වූ ෆිෆි ග්‍රේවිෂ්කර්ස් ය. මිනිසුන් සිතන ආකාරයට බළලුන් ගොළු සතුන් නොවේ. අනෙක් සතුන් හා සසඳන විට ගොළුවන් හා සමාන වන්නේ මිනිසුන් ය. සෑම සතකුටම ටෙලිපති ක්‍රමයට අදහස් හුවමාරු කරගන්නට පුළුවන. මිනිසුන් සතුව එම ශක්තිය තිබුණ ද දැන් එම ශක්තිය ඔවුනට අහිමිව ගොස් ඇත්තේ ඔවුන්ගේ කුහක ස්වභාවය නිසාය. රම්පා හමුවීමට පෙර ජීවිතය ගැන මෙන්ම ලාමාවරයා සමඟ එක්ව ගතකළ ජීවිතය පිළිබඳ තොරතුරු ෆිෆි ටෙලිපති ක්‍රමයට පැවසූ විට ඒ තොරතුරු ලියුවේ රම්පා ය.,T. Lobsang Rampa
Bel Canto,"ප්‍රධාන පෙළේ ව්‍යාපාරික හොසොකාවා මහත්මයාගේ උපන්දින උත්සවය, උප ජනාධිපති මන්දිරයේදී, යුරෝපය පුරා කීර්තිය පැතිර වූ රොක්සේන් කොස් නම් ඔපෙරා ගායිකාවගේ සහභාගිත්වයෙන් ඇරඹේ. උතුරු හා දකුණු අමෙරිකානු, ඉතාලි, ප්‍රංශ, ජර්මානු, ස්පාඤ්ඤ, රුසියානු, ජපන් ආදී රටවල තානාපතීන්, මහා ව්‍යාපාරිකයන් හා කෝටිපති රසවතුන් බොහෝ දෙනෙක් දන්නේ සංගීතය නම් වූ විශ්ව භාෂාව හැරෙන්නට තම මව් බස පමණි. අවිගත් ත්‍රස්තවාදීන්ට කොටු වී නිවාස අඩස්සියට පත්වන මොවුහු, සිව් මසක් පමණ එහි ගත කරන්නෝ බිය පත් වෙති, සාකච්ඡා කරති, ගායනා කරති, ක්‍රීඩා කරති, පෙම් කරති. මේ සියල්ලම වාගේ කෙරෙන්නේ ජෙන් වටනාබේ නම් එකම එක භාෂා පරිවර්තකයා හරහාය.",Ann Patchett
Wide Sargasso Sea,"ඇන්ටෝනිටි කොස්වේ බටහිර ඉන්දියානු සම්භවයක් සහිත සුදු ජාතික තරුණියකි. කුඩා කාලයේ සිටම ඇය සිය මවගෙන් පවා දයාවක් නොලද දැරියක ලෙස හැදී වැඩී, රොචෙස්ටර් නම් තරුණයෙකු හා විවාපත් වෙයි. කොස්වේ පවුල පසුපස ලුහු බැඳ එන උන්මන්තක භාවයක් පිළිබඳ කට කතාවෙන් සැලෙන තරුණ රොචෙස්ටර් සිය බිරිඳ දකින්නේ ද ඒ උන්මන්තක භාවයේ ඡායාවක් ලෙසින් ය. බටහිර ඉන්දියානු දූපත් ඇසුරෙන් ගොඩ නැඟෙන ඇය ගේ අනුවේදනීය කතා පුවතේ ගුප්ත හවුල් කරුවන්, ඈ විනාශයේ දොරටුව කරා ඇද ගෙන යන්නේ ද ඔවුන් ගේ ආත්මයන් වෙළා ගත් ගුප්ත බලවේගයනට යටත්වමය.",Jean Rhys
Running in the Family (පවුලේ ඌරුව),"කැනඩාවේ ශීත සෘතුව විඳ ගැනීම සඳහා සිය මව්බිම වූ ශ්‍රී ලංකාව හැර යාමෙන් විසි පස් වසරකට පසු නිවර්තනීය ග්‍රීෂ්මය හා සුනඛයන්ගේ බිරුම් හඬ ඇතුළත් සිහිනයක් මව්බිම කරා පෙරළා පැමිණීමට හා තමන් කිසි දාක සම්පූර්ණයෙන් තේරුම් නොගත් ළමා කාලයක් හා පවුලක් යළි බැහැ දැකීමට ඔන්ඩාට්චි පොළඹවා ලයි. විචිත්‍රවත් කතාන්දර වලින් හා සිය මුතුමිත්තන්ගේ රහස්වලින් සමන්විත මේ ආලේඛ්‍යය එකලස් කිරීමට ඔන්ඩාට්චි සිත් අලවන සුලු පුවත් ද, කවි හා මතකයන් ද එක් රැස් කරයි.",Michael Ondaatje
Jungle Man: The Autobiography Of Major P. J. Pretorius C.M.G. D.S.O. and Bar,"අභියෝග, අසීරුතා, තැති ගැන්ම, අන්තරාය මේජර් ප්‍රිටෝරියස්ගේ ජීවිතයේ අත්‍යාවශ්‍ය අංග විය. සුදු ජාතිකයින් එතෙක් නොගිය අප්‍රිකාවේ මහා වනාන්තර කරා ඔහු ගියේය. එදිරිවාදී සහ මිනී මස් කන අප්‍රිකානු වන වාසී ගෝත්‍ර සමග ඔහු මිතුරු විය. වෙළෙඳාමට දළ ලබා ගැනීමට ඔහු අප්‍රිකානු ඇතුන් සිය ගණන් දඩයම් කළේය. ඔහුගේ වන සබදතාත්, වන දැනුමත් නිසා නැගෙනහිර අප්‍රිකානු යුද්ධයේදී ඉංග්‍රීසි හමුදාවේ ප්‍රධාන ඔත්තුකරු ලෙස ඔහු යුද සේවයට බඳවා ගැනුණි. මේ පොතේ අඩංගු වන්නේ දඩයක්කාරයකු ලෙසත්, හමුදා ඔත්තුකරුවකු ලෙසත් ඔහු ලැබූ අප්‍රමාණ අත්දැකීම්ය. ඒවා ඇදහිය නොහැකි තරම් අන්තරායකරය, ලොමුඩැහැ ගැන්වෙන සුලුය.",P. J. Pretorius
The Omen (සාතන්ගේ සළකුන),"බ්‍රිතාන්‍යයේ අමෙරිකානු තානාපතිවරයා හදිස්සියේ අවබෝධ කරගන්නේ නම පුතූ ඩේමියන්, ක්‍රිස්තු විරෝධියා හෙවත් සාතන්ගේ පුත්‍රයා බව ය. ඒ බව සනාථ කරන සලකුණ ඩේමියන්ගේ හිසෙහි සටහන්ව තිබිණි. සාතන් ගේ පුත්‍රයා මරා දමා බයිබලයේ හෙළිදරව්වේ සටහන් ආමගෙඩොන්හි පැවැත්වීමට නියමිත අවසන් සටන වලක්වන්නට තනාපති තෝන්ට හැකිවේවි ද?","David Seltzer
"
The English Patient,"එකිනෙකා කලින් දැන නො සිටි යුද්ධයෙන් පීඩාවට පත් පුද්ගලයින් සිව් දෙනෙකු ගේ ජීවන අත්දැකීම් මේ නවකතාවට පදනම් වී තිබේ. දෙවන ලෝක යුද්ධ සමයේ දී ඉතාලියේ කඳු ගැටයක් මුදුනේ පිහිටි විනාශ වූ සුවිසල් මන්දිරයක් තුළ දී මේ ආගන්තුක පිරිස හමු වේ. ඔවුන් ගේ අතීත අත්දැකීම් ස්මරණය කිරීමේ ස්වරූපයෙන් මේ කතාව ඉදිරියට ගලා යයි. අනුවේදනීය ප්‍රේම වෘත්තාන්තයක ස්වරූපය ගත්ත ද මේ නවකතාව විචිත්‍ර සිද්ධීන් ගෙන් අනූන ය. යුද්ධයෙන් අනතුරට පත් ප්‍රදේශ මනුෂ්‍ය වාසයට යෝග්‍ය තත්ත්වයට පත් කිරීමේ නියැලී සිටින එඩිතර තරුණයකු ගේ ක්‍රියා කලාපය, කාන්තාරවල සිදු කෙරෙන පුරා විද්‍යාත්මක ගවේෂණ, එකී පර්යේෂණවල යෙදී සිටින පුද්ගලයින් මුහුණ දන ඛේදනීය ඉරණම, කාන්තාරය තුළ පවතින කටුක බව මෙන්ම සුන්දරත්වය වැනි විවිධ විස්තරවලින් අනූන මේ කෘතිය අපූර්ව භාෂා විලාසයකින් රචනා වී තිබේ. මෙය යුද්ධයේ ඇති බිහිසුණු බව සහ කෲරත්වය මෙන් ම එහි ඇති,නිරර්ථක භාවය ද මතුකර දක්වන විශිෂ්ට කෘතියකි.","Michael Ondaatje
"
Anil's Ghost,කණ්ඩායම පැමිණෙන්නේ පාන්දර පහයි තිහටය. මළවුන් පිළිබඳ සාක්‍ෂි අතුරුදහන් වේ යැයි පවුලේ සාමාජිකයෝ ඔවුන් එනතුරු බලා සිටිති. අනිල් හා පිරිස වැඩ කරද්දී ඔවුන් නිරතුරුව ඒ දෙස නෙත් යොමා සිටින්නේ කිසි විටෙකත් එතැනින් ඉවතට නොයමිනි. රාත්‍රියේ දී ප්ලාස්ටික් කවරවලින් වැඩ බිම වසා කොළ සුළඟට නොයන සේ ගල් හා යකඩ කැබෙලි බරට තබා ඇත. විද්‍යාඥයින් පැමිණෙන හෝරාව මළවුන්ගේ නෑදෑයෝ දනිති. ඔවුන් ඇටකටු තිබෙන ඉසව්වට යන්නේ විද්‍යාඥයින් පැමිණෙන වාහන හඬට කන් දෙමිනි. එක් දිනෙක අනිල් දුටුවේ මඩ මත ඇති පා සටහනකි. ඇතැම් විටෙක එහි මල් පෙත්තක් විය.,Michael Ondaatje
Burmese Days,ශ්‍රී ලංකාව සේම බුරුමයද බෞද්ධ ශිෂ්ඨාචාරයකින් පෝෂණය වූ වැඩි පිරිසක් බෞද්ධයන් සිටින රටකි. එවකට ඉන්දියානු අධිරාජ්‍යයේ කොටසක්ව පැවති බුරුමයේ බ්‍රිතාන්‍ය පාලනය ජෝර්ජ් ඕවල් විසින් ඉතා මැනවින් විස්තර කෙරේ. යටත් විජිත සමයේ වසර පහක් පමණ බුරුම රාජකීය පොලිසියේ සේවය කළ ජෝර්ජ් ඕවල් බුරුම ජනයා දෙස සානුකම්පිතව බලමින් ඔවුන් කෙරහි බ්‍රිතාන්‍ය ජාතීන් වැඩි පිරිසක් දක්වන ආකල්පය ගෙනහැර දක්වයි. එම රටෙහි සම්පත් උපයෝගි කරගෙන ධනය රැස්කරමින් බ්‍රිතාන්‍ය ජාතිකයින් එරට ජනතාවට කරන පහත් පෙළේ සැලකීම ජෝර්ජ් ඕවල්ගේ නිබඳ පිළිකුලට භාජනය වෙයි. එමෙන්ම ඇතැම් ස්වදේශීකයන් තම පෞද්ගලික අභිමථාර්ථ වෙනුවෙන් බ්‍රිතාන්‍ය පාලනය සතුටු කිරීමට දරන ප්‍රයත්නයද පොතෙහි දැක්වේ. එවකට ශ්‍රී ලංකාවේ තත්ත්වය ද මෙයට සමාන වන්නට ඇතැයි සිතිය හැකිය.,"George Orwell
"
The Second Round,"ප්‍රසව හා නාර්වේද විශේෂඥ ශල්‍ය වෛද්‍යවරයෙකු ලෙස එංගලන්තයෙන් නියත විවරණ ලබන කාවා මහතා පෙරළා සියොරා ලියොනය බලා පැමිණෙන්නේ දහසකුත් එකක් පැතුම් අතින් කටින් එල්ලා ගෙනය. එහෙත් වැඩි දොහක් නොගොසින්, සාම්ප්‍රදායික අප්‍රිකානු සමාජයේත් තමා එංගලන්තයේ අතැර දමා පැමිණි ලෝකයේත් මනස්ගාත කොත්තු රොටියක් බවට පත් ප්‍රීටවුන් පුරවරය ලොමු ඩැහැගන්වනසුලු අයුරින් තමා හුදෙකලා කොට දමන්නට තනන අයුරු ඔහුට දැනෙන්නට ගනී. ප්‍රීටවුම ද බෞතීස්මය ලබන්නට සැරසෙන්නේ විස්කි සහ සෝඩා, ලැම්බෝගිනි කාර්, බංගසාල මන්දිර හා ක්‍රෙඩිට් ගිනුම් ආදියෙන් සන්නද්ධ වෙමිනි.කාවාගේ මෑණියන් ද ඔහුගේ සහමිතුරන් ද ඔහු කෙරෙන් බලාපොරොත්තු වන්නේ ග්‍රාමීය සමාජය තුළ ඔහුට හිමි 'නිසි තැන' කරා ඔහු ඔසවා තබන්නටය. පෙළවහකින් පසුව එකලාසයක් වී ධන ධාන්‍යයෙන් ආඪ්‍ය වූ කාම සුඛල්ලිකානුයෝගී ධනියගෝපාලයෙකු දකින්නටය. තම ඇස් ඉදිරිපිට බලාත්කාර් කන්‍යා දූෂණයකට ලක්වන ලෝරා නම් සුරූපිනිය පසුපස දිවයන අසාර්ථක ප්‍රේමයකින් පසු, දෙවන වරට ලාරා පටලැවෙන්නේ වැඩිමහලු පුරුෂයෙකු වෙතින් තම කම් පවස සංසිඳුවාගත නොහෙන ක්ලාරා නම් ලාබාල කාමිනියක් සමඟිනි. ඇය ද ඒ අතරේ නාසා පිළිකාවකින් මියැ දෙමින් සිටින ෆ්‍රේඩී නම් කොලු ගැටයා තම යහන් සගයා බවට පත්කැරගෙන සිටින්නීය. අවසන කාවාගේ නිස්සරණ සෙනසුන වන්නේ බෝ නම් වන කඳුකර ග්‍රාමීය ගිලන් උවටැන් පොලයි.","Lenrie Peters
"
